H 450 315 158
H2 430 301 150
OH 2850 1995 998
H2 O 5700 3990 1995
CH2 1050 735 368
CH3 1175 823 411
CH4 1300 910 455
NH 2380 1666 833
NH2 3960 2772 1386
NH3 5530 3871 1936
CO 1150 805 403
CO2 2575 1803 901
HCO 1600 1120 560
H2CO 2050 1435 718
CH3O 2500 1750 875
CH2OH 5080 3556 1778
CH3OH 5530 3871 1936
CH2CO 2200 1540 770
CH3CO 2325 1628 814
CH3CHO 2775 1943 971
HOCO 5120 3584 1792
HCOOH 5570 3899 1950
CH3OCH3 3675 2573 1286
C2H5OH 6260 4382 2191
HCOOCH3 5200 3640 1820
CH2(OH)CHO 6680 4676 2338
CH3COOH 6300 4410 2205
(CH3O)2 5000 3500 1750
CH3OCH2OH 7580 5306 2653
(CH2OH)2 10200 7140 3570
HCOOC2H5 6250 4375 2188
C2H5COOH 9060 6342 3171
C2H5CHO 5540 3878 1939
CH3CN 4680 3276 1638
C2H3CN 4640 3248 1624
C2H5CN 5540 3878 1939
C3H7CN 7240 5068 2534
CH2NH2 4680 3276 1638
CH3NH2 5130 3591 1796
NH2CHO 5560 3892 1946
NH2OH 6810 4767 2384
(NH2)2 7910 5537 2769
NH2OCH3 6460 4522 2261
NH2CH2OH 9040 6328 3164
NH2CH2CN 5480 3836 1918
NH2CH2COOH 10100 7070 3535
NH2C2H5 7890 5523 2762
NH2CH2 CHO 6610 4627 2314
(NH2)2 CO 7910 5537 2769
NH2COOH 9080 6356 3178
NH2COCHO 6710 4697 2349
CH3OCONH2 7610 5327 2664
CH2(OH)CONH2 10190 7133 3567
CH3CONH2 6280 4396 2198
CH3OCOOH 7620 5334 2667
CH2(OH)COOH 10200 7140 3570
CH3OOH 5350 3745 1873
CH2(OH)2 7930 5551 2776
(CH3)2 CO 3500 2450 1225
CH3OCOCH3 4830 3381 1691
CH3COCH2OH 7410 5187 2594
(CH3)2CO 6150 4305 2153
CH3OCOCH2 OH 8730 6111 3056
(CH2OH)2CO 11300 7910 3955
